obs_date,mars_equities_portfolio,mars_bonds_portfolio,mars_commodities_portfolio,mars_inflation_portfolio
1/5/2007,-0.008277563,-0.001125505,0.000357446,-0.000481246
1/8/2007,0.00239048,-0.000301312,0.001636118,9.77E-05
1/9/2007,4.26E-05,-0.000306182,-0.003146023,-0.000333721
1/10/2007,-0.000942753,-0.000863155,-0.003453575,0.0004979
1/11/2007,0.006120167,-0.001715856,-0.019548214,0.00293761
1/12/2007,0.006658992,-0.001577304,0.019435039,-0.001934253
1/15/2007,0.002129646,0.000145139,-2.51E-05,0.004480175
1/16/2007,-0.002140987,0.000838604,-0.014196128,-0.002070656
1/17/2007,-0.000461351,-0.000211493,0.001915316,-0.000244136
1/18/2007,-0.002382524,0.000332265,-0.009476575,0.001158315
1/19/2007,0.003114829,0.000126275,0.02793186,-0.000531465
1/22/2007,-0.003021517,0.000821903,0.005957476,0.001965531
1/23/2007,0.002607551,-0.001228026,0.02643134,0.000843335
1/24/2007,0.007753245,-0.000133595,-0.003497268,0.003302611
1/25/2007,-0.009173939,-0.002109213,-0.015022881,0.001100358
1/26/2007,-0.002417391,-0.000530055,0.012742225,-0.00156246
1/29/2007,0.00032326,-0.001130584,-0.019656455,0.004596505
1/30/2007,0.005191331,0.000591569,0.039453303,-0.002232565
1/31/2007,0.002705313,0.001687115,0.011139812,0.001427011
2/1/2007,0.006676073,-0.000564512,-0.009164464,0.002985413
2/2/2007,0.001992857,-7.22E-05,0.00805478,-0.002227236
2/5/2007,-0.000492528,0.001017356,0.001374238,0.000494078
2/6/2007,0.000742983,0.001143634,-0.000842588,-0.004143542
2/7/2007,0.001300957,0.000984091,-0.006820535,-0.003180757
2/8/2007,-0.001660496,0.000468058,0.01714118,0.001407089
2/9/2007,-0.003594176,-0.001428269,0.005298592,0.000695537
2/12/2007,-0.003846567,-0.000849478,-0.027864213,0.001659763
2/13/2007,0.006641774,-0.001153255,0.018197504,-0.001784766
2/14/2007,0.006465924,0.002907841,-0.012102939,-0.000988341
2/15/2007,0.001537446,0.001094152,0.003113306,-0.003518598
2/16/2007,-0.000625613,0.001008369,0.01567775,0.002481336
2/19/2007,0.000900501,-0.000182041,-0.001952911,0.002166689
2/20/2007,0.000768981,0.000468221,-0.005361267,-0.004455964
2/21/2007,-0.001903244,-3.37E-05,0.018019135,0.006633567
2/22/2007,0.000599322,-0.001204443,0.015646061,0.002354384
2/23/2007,-0.001568007,0.001720795,0.00663572,-0.002572893
2/26/2007,0.000593964,0.002220077,0.000744287,0.001647066
2/27/2007,-0.03424502,0.004702706,-0.006547676,-0.001670775
2/28/2007,0.00093062,-0.00100439,-0.004588999,-0.003150029
3/1/2007,-0.004338855,-0.000187674,-0.00274419,0.005465854
3/2/2007,-0.011276906,0.001421831,-0.007825413,0.001252616
3/5/2007,-0.011749116,0.000797032,-0.013814706,-0.003090639
3/6/2007,0.015214691,-0.000674226,0.010640015,0.000679962
3/7/2007,6.01E-05,0.001095849,0.010890386,-0.001242216
3/8/2007,0.009540559,-0.000196338,6.43E-05,-0.001571747
3/9/2007,0.000917759,-0.002872719,-0.014296357,0.001882795
3/12/2007,0.001595879,0.001147732,-0.007719809,-0.003448564
3/13/2007,-0.016993737,0.00271088,-0.004281794,0.006309484
3/14/2007,-0.002777366,0.000224122,0.002759688,-0.004468668
3/15/2007,0.005466616,-0.001077446,-0.003508612,0.002587875
3/16/2007,-0.002457445,-0.000240333,-0.000788316,0.001687913
3/19/2007,0.012841031,-0.001209499,-0.000551793,3.38E-05
3/20/2007,0.005416272,0.000662969,-0.000856516,0.003303219
3/21/2007,0.011559951,0.001159579,0.006909675,0.003590182
3/22/2007,0.004147025,-0.002256801,0.019332139,-0.000838963
3/23/2007,0.002412834,-0.00185068,0.000347829,-0.002704806
3/26/2007,-0.002201326,0.000226607,0.007078707,5.67E-05
3/27/2007,-0.002457418,-0.00062468,0.003735123,0.002373863
3/28/2007,-0.007583388,-0.000556464,0.010688167,1.58E-05
3/29/2007,0.003735244,-0.000482807,0.012213607,-0.000573445
3/30/2007,-0.000229602,-0.00077681,-0.000127406,-0.001751659
4/2/2007,0.000242217,0.000207859,-0.001365669,-0.001060239
4/3/2007,0.010321996,-0.001199465,-0.010203067,-0.001673299
4/4/2007,0.002855433,0.000247099,0.011186891,-0.000333536
4/5/2007,0.002305499,-0.000786681,0.004080695,0.003220323
4/9/2007,0.001852154,-0.000149208,-0.01102652,0.000237507
4/10/2007,0.001690329,0.000463198,0.013365304,0.003143529
4/11/2007,-0.003855404,0.000119348,9.13E-05,0.000131778
4/12/2007,0.002583804,-0.000637552,0.006199698,0.000693764
4/13/2007,0.003766439,-0.001161981,9.69E-05,-0.000124517
4/16/2007,0.010501347,0.000176082,-0.013974875,-0.001214381
4/17/2007,0.001229006,0.001780583,-0.009759553,-0.001925731
4/18/2007,0.000140802,0.001076003,-0.000170177,0.004011482
4/19/2007,-0.002353631,0.000109644,-0.002891797,-0.006153925
4/20/2007,0.009090782,-0.000424175,0.004694715,-0.000291835
4/23/2007,-0.002123853,0.0009025,0.014218269,0.001716246
4/24/2007,-0.001453836,0.001504129,-0.009147011,-0.000119198
4/25/2007,0.006360873,-0.000470552,0.013643124,0.000987625
4/26/2007,0.002042017,-0.001726502,-0.011626229,0.000429951
4/27/2007,-0.001593687,-1.00E-04,0.0131253,0.001183843
4/30/2007,-0.006190175,0.00297074,-0.003320475,0.001476359
5/1/2007,0.001054957,-0.000203818,-0.004740565,-0.002044674
5/2/2007,0.006141709,-0.00088028,-0.006349598,0.000208219
5/3/2007,0.00414771,-0.001214737,0.005430796,5.82E-05
5/4/2007,0.004890847,0.001433774,-0.000605646,-0.001718748
5/7/2007,0.001302825,-0.000221191,-0.010599111,-0.003429924
5/8/2007,-0.002528965,0.000156509,-0.002131361,0.002111555
5/9/2007,0.0021013,-0.001730047,-0.001711841,-0.000284425
5/10/2007,-0.008364816,0.00047752,0.001450695,-3.38E-05
5/11/2007,0.006429158,-9.50E-05,0.014699484,0.001477221
5/14/2007,-0.001020683,-0.001390965,-0.003117916,-0.001464303
5/15/2007,-0.000193521,-0.001130173,0.005832625,0.00168074
5/16/2007,0.004036179,0.000344787,-0.002009288,-0.004070522
5/17/2007,-0.000370774,-0.00132011,0.01350291,0.000234011
5/18/2007,0.007149748,-0.0017137,-0.003843397,0.001791042
5/21/2007,0.000788912,8.57E-05,0.009011635,0.000744925
5/22/2007,-0.001112465,-0.001104994,-0.014936338,-0.000713998
5/23/2007,0.001485405,-0.001929592,0.001797677,0.001284336
5/24/2007,-0.008821754,-0.000260197,-0.004055119,-0.001002639
5/25/2007,0.00214874,-0.000717367,0.006629835,0.005350967
5/28/2007,0.000841534,-9.38E-05,-0.002758689,-0.001008085
5/29/2007,0.002967191,-0.001340329,-0.015889067,0.000505958
5/30/2007,0.004561948,8.03E-05,0.006638144,0.000106863
5/31/2007,0.002249989,-0.000676304,0.005187518,-0.001011314
6/1/2007,0.005313438,-0.003011799,0.009064457,-0.000667617
6/4/2007,3.64E-05,0.000537735,0.014316184,6.21E-06
6/5/2007,-0.003474004,-0.002328529,-0.004480527,0.001353775
6/6/2007,-0.011678057,0.000871039,-0.002283247,0.000261557
6/7/2007,-0.015119861,-0.004864978,-0.001278015,0.000714692
6/8/2007,0.007219573,-0.001833667,-0.022445165,0.005353899
6/11/2007,0.003277674,-0.000523162,0.011959454,0.002736312
6/12/2007,-0.009254082,-0.003817979,-0.004364177,-0.00330322
6/13/2007,0.010799918,0.000101904,0.007032707,0.003732844
6/14/2007,0.008581668,-0.000323252,0.017195178,-0.000360122
6/15/2007,0.006991543,0.002024026,0.008569841,0.002249524
6/18/2007,-3.20E-05,0.001262047,0.000778296,-0.003769055
6/19/2007,0.000665147,0.001801589,-0.012646441,-0.00070019
6/20/2007,-0.009369773,-0.000931643,-0.005151647,-0.000662401
6/21/2007,0.0024775,-0.001466064,-0.004070049,-0.000424283
6/22/2007,-0.008047146,0.00116604,-0.00552828,0.004106529
6/25/2007,-0.004183365,0.002521563,-0.004353383,0.001161323
6/26/2007,-0.009325934,-0.000426269,-0.012015892,-0.001196278
6/27/2007,0.007791049,0.00179593,0.00515243,0.001297307
6/28/2007,0.001716413,-0.002100556,-0.006057158,-0.002269813
6/29/2007,0.001727509,0.003008824,0.009193075,9.16E-05
7/2/2007,0.006722771,0.00143957,0.00587391,-0.001702583
7/3/2007,0.004344125,-0.001824183,6.89E-05,-0.000158398
7/4/2007,0.000566993,-0.000472791,0.001136394,-0.000598023
