obs_date,mars_equities_portfolio,mars_bonds_portfolio,mars_commodities_portfolio,mars_inflation_portfolio
5/31/1971,0.008057494,-0.011589052,-0.014538158,-0.0039866
6/30/1971,-0.019958569,-0.005673497,0.002176848,0.004126155
7/31/1971,0.010727391,0.028189829,-0.009174777,-0.003362115
8/31/1971,-0.01275594,0.017305804,-0.003957963,-0.00282167
9/30/1971,-0.040829637,0.010592109,0.041600752,-0.000728186
10/31/1971,0.004640674,0.002001412,0.022155318,0.009396144
11/30/1971,0.07617178,0.005570852,0.032138795,0.008283269
12/31/1971,0.025261228,-0.008442595,0.034779272,0.016178733
1/31/1972,0.033558767,0.00517507,-0.005350302,0.00316924
2/29/1972,0.000203156,-0.002916804,0.010056556,0.002208399
3/31/1972,0.012869961,0.003086865,0.025758367,0.007672623
4/30/1972,0.019131547,0.003092383,0.01975703,0.005128015
5/31/1972,-0.02146475,-0.002027286,0.022902597,-0.001514238
6/30/1972,0.013025732,0.008160901,-0.012586061,0.009233482
7/31/1972,0.027885384,-0.012971911,0.054534506,0.010758302
8/31/1972,-0.015467558,-0.002492078,0.069296106,0.010321143
9/30/1972,0.011402487,0.006792271,-0.014445595,0.009892852
10/31/1972,0.047493587,0.006679375,0.034690748,-0.002182917
11/30/1972,0.013752121,-0.005776298,0.072846699,0.012749183
12/31/1972,-0.014970042,-0.003774045,0.028706236,0.007468838
1/31/1973,-0.039003792,-0.005512761,0.038041842,0.011447901
2/28/1973,-0.00954105,-0.005839327,-0.029198749,-0.002284432
3/31/1973,-0.052370462,0.000279123,0.053190585,0.004623868
4/30/1973,-0.0152241,-0.015149662,0.162077349,0.004249082
5/31/1973,-0.009428017,-0.002682776,-0.022876288,0.011573196
6/30/1973,0.023402998,-0.024576283,0.222230573,0.0128613
7/31/1973,-0.037880068,0.003581939,0.016747466,0.005433502
8/31/1973,0.024368392,0.009955143,-0.058310704,-0.004166348
9/30/1973,0.007244931,0.008465472,-0.061467832,0.003306509
10/31/1973,-0.125989716,-0.003680907,0.044338555,-0.000624229
11/30/1973,-0.008658528,-0.009158514,0.093713126,0.009822059
